ADM1_EN,ADM2_EN,ADM2ALT2EN
Male Economic,Male,Male
North,Haa Alif Atoll,Haa Alif (HA)
North,Haa Dhaal Atoll,Haa Dhaalu (HDh) 
North,Shaviyani Atoll,Shaviyani (Sh)
North Central,Baa Atoll,Baa (B)
North Central,Lhaviyani Atoll,Lhaviyani (Lh)
North Central,Noonu Atoll,Noonu (N)
North Central,Raa Atoll,Raa (R)
South,Gaaf Alif Atoll,Gaafu Alif (GA)
South,Gaaf Dhaal Atoll,Gaafu Dhaalu (GDh)
South,Gnaviyani Atoll,Gnaviyani (Gn)
South,Seenu Atoll,Addu (S)
South Central,Alif Dhekunu Buri,Alif Dhaal (ADh)
South Central,Alif Uthuru Buri,Alif Alif (AA)
South Central,Dhaal Atoll,Dhaalu (Dh)
South Central,Faafu Atoll,Faafu (F)
South Central,Kaafu Atoll,Kaafu Atoll
South Central,Laamu Atoll,Laamu (L)
South Central,Meemu Atoll,Meemu (M)
South Central,Thaa Atoll,Thaa (Th)
South Central,Vaavu Atoll,Vaavu (V)
